,Ca_inc,Ca_int,Ca_mat,Ca_dec,Ck_inc,Ck_int,Ck_mat,Ck_dec,BAe_inc,BAe_int,BAe_mat,BAe_dec,BKe_inc,BKe_int,BKe_mat,BKe_dec,Ae_inc,Ae_int,Ae_mat,Ae_dec,Ke_inc,Ke_int,Ke_mat,Ke_dec,Ge_inc,Ge_int,Ge_mat,Ge_dec
PC1,0.1847475261046641,0.292544545848894,0.28567086828788524,0.23444541478455994,-0.1594118076783629,-0.2414467048971523,-0.24551058421152144,-0.20936623026423207,-0.031143050314527437,-0.06742496469877386,-0.13306026588815206,-0.14967234403405735,0.03954762376033032,0.040550897147656376,-0.09816832188346819,-0.16384969052327028,0.13413614232845317,0.24817883988915146,0.2725758070545351,0.19378272083185338,0.17941456113473786,0.2701228842169508,0.2735798712915527,0.2193746077220899,0.03157948964134376,0.16481562104546732,0.13020944503402843,0.07682852210588131
PC2,0.16657114509930582,0.10293235818893837,-0.11210526723806417,-0.20739032740555313,0.006894787936659805,0.13278418783790488,0.2696393451786521,0.32234695437977967,0.07870525538151936,0.12634636843108468,0.1713128568214227,0.26511257160661517,0.1840987904403504,0.27167007297415163,0.26917046695229907,0.2905134618079131,0.21652500556064017,0.22919840352532578,0.06744096689509932,-0.029767757146525062,0.21734486210570464,0.24644608575222193,0.14107832246354873,0.025175272896314868,0.030914778646225473,0.2501242955649385,0.15516244458065165,0.06705238620527915
PC3,-0.25133090367682587,-0.1325609403855012,0.16940493463139192,0.23668461695967763,0.24698686040776102,0.19748765166961907,0.08656221265151684,-0.046747001270815734,0.02048783610766762,0.08663823893917352,0.10963549566294221,-0.03170507710816586,0.002379818235193988,0.10831656900350152,0.2861942645721739,0.09274851973341461,-0.2111225018589517,-0.16014213678836903,0.2037834794062341,0.34498479356209805,-0.22442280633868494,-0.1425084190839302,0.10863421790913347,0.28688733295178076,0.0717202969290682,0.011984709852616585,0.2681872472743086,0.3590398762450746
PC4,-0.18980041556513663,-0.09484653928823364,-0.028075843487079283,0.006680984990211518,0.2489607557873152,0.07917996899680922,-0.10934738846543732,-0.12348818118094014,0.5485506275496568,0.5025764348747832,0.13723660519905884,0.03433655493601626,-0.1283905634562115,-0.2218614136504841,-0.1982659056975066,-0.15108247728632165,0.27496708157886396,0.22779627192297539,0.08696668019747703,0.014330251706431534,0.0035758959659057607,-0.008022407393105113,-0.02425128824065888,-0.03555343149841475,-0.006224863941816141,0.13373063934392382,-0.02331921654200403,-0.04101158528473223
PC5,-0.04132811681510491,-0.12089361611497987,-0.07908758542863983,0.11601647311681174,0.22612326785238668,0.2515978158599273,0.06785209929302803,-0.1751012747228081,0.12820217423136707,-0.09731472507661837,-0.20211123189491542,-0.26823440435199347,0.40302856810953214,0.3842926095733262,0.09547611923006818,-0.1394255793875091,0.19500694620358522,0.058503240468317216,-0.09479996255874669,0.008313666452699618,0.07677407678545738,0.08606405552235252,0.033126657878979136,0.12586078316116636,-0.3590141983335201,-0.21421406165890028,-0.2587620689544244,-0.12003803632685824
PC6,-0.1943711190005845,0.07380289319136692,0.020529398045994726,-0.14524834457962843,0.2633047603402515,0.03747652352567294,-0.1282715022788243,-0.05288946533911959,-0.09335374004887732,0.09605335506063674,-0.07637268208912841,-0.013924003359471561,0.1720433527285828,0.2624197448850967,-0.06968033549027339,-0.1490009228146414,-0.3446536594382716,-0.00433430041260245,0.006812263968110498,-0.28914740811663586,-0.22563010262973784,0.15604423396243472,0.25291257321181415,-0.02496425972140164,0.41808510009305994,0.2678436299315728,-0.019858628665179987,-0.3264172034799985
PC7,0.32234228073303556,-0.06175154015406674,-0.08950899755942929,0.19723074290828826,0.10306708614864991,0.27023869618514507,0.049119541587169996,-0.18599978808941292,-0.2898776917748567,0.08563216087154667,0.21943364505137414,-0.10133223537545812,0.3349945770482702,-0.05371498597685377,-0.2276286889781874,-0.18879283319997883,0.056275131158753516,-0.007694442462775964,-0.13402314285743785,0.01678173161564073,0.16508876725887972,-0.10481467471875462,-0.30758213989894384,-0.13684996662308951,0.2807982067039486,0.23440876463068117,0.10987032822618976,0.231198656606766
PC8,0.03634090291550039,-0.07053704845363576,-0.11000648281552854,-0.08429389033410245,-0.1608394884332843,-0.00667445640098591,-0.012800284811421437,-0.17469097139889325,-0.2030398961183988,0.12942983754544915,0.5491745154853174,0.245891492778006,0.013294126141937833,0.03436816690758157,0.04908254501271057,-0.17135601336617484,-0.08471932291273633,-0.030282503422961113,0.17895203781690286,0.27357939048430024,0.08624202582083504,0.03948830071222348,0.09588342693986947,0.24457923576710947,0.05180321626552174,-0.20022941605286643,-0.4069814406003439,-0.25170821058700865
PC9,0.0011119037541350836,0.22428094313116587,0.1614639252955547,-0.09599032663485234,0.23879674765010805,-0.1046892956706241,-0.20267375782996067,0.12993884986248772,-0.09307166988548547,-0.04535938324077608,0.12379156743160258,0.33002117390727925,0.37635453647124445,0.04872315805779966,-0.29247790997218576,0.04386967631015504,-0.07245943477583539,0.13153812191521136,0.23428798739440554,0.09721778487116464,-0.2892167010269142,-0.09773900517006989,-0.09759143966827549,-0.2606842844936859,-0.36772192749504257,-0.1332883837173084,0.03620577246134068,0.10076914259290075
PC10,-0.1741407404915551,-0.20088592921079085,-0.28498942900930124,-0.23275009397847948,-0.10342897753689936,-0.10132607621453549,-0.03748640088197881,-0.15434910653895378,0.0511640785820465,-0.16827447901823225,0.07328953906506148,0.25750621233959387,0.04244638890456445,0.037379334842858894,-0.1999002041238188,-0.35410142159299474,-0.0447043595098511,-0.17285509731068516,-0.20358628138829074,-0.11287072918472628,0.0680823756127023,0.1778864976008512,0.17594337435664353,0.20271054770097577,-0.2550104551375962,0.09225314304130738,0.35742823485087444,0.2844051023196049
