PC,explained_variance,explained_variance_ratio,cumulative_variance_ratio
PC1,6.96240253614329,0.2485921399170832,0.2485921399170832
PC2,3.4111019055887555,0.12179317667766881,0.37038531659475205
PC3,2.69599451214806,0.09626031265794166,0.4666456292526937
PC4,2.055405811710685,0.07338813383435962,0.5400337630870533
PC5,1.9050912342676818,0.06802116140303174,0.608054924490085
PC6,1.442738285042348,0.051512878745107765,0.6595678032351928
PC7,1.193990397660278,0.042631351240319755,0.7021991544755126
PC8,1.0849153700116305,0.03873683431258804,0.7409359887881006
PC9,1.0044612764311935,0.035864226016181076,0.7768002148042817
PC10,0.7717736119104658,0.02755612774762592,0.8043563425519077
PC11,0.6960891279270086,0.02485381805865039,0.8292101606105581
PC12,0.5938245277744587,0.02120246701169276,0.8504126276222508
PC13,0.5474057599270203,0.01954508785678095,0.8699577154790318
PC14,0.47196480548783803,0.01685147337470132,0.886809188853733
PC15,0.44844545019045706,0.016011716289055303,0.9028209051427883
